Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
0,3,1,22.0,2,1,2
1,1,2,38.0,2,1,3
1,3,2,26.0,1,1,2
1,1,2,35.0,2,1,2
0,3,1,35.0,1,1,2
0,1,1,54.0,1,1,2
0,3,1,2.0,4,2,2
1,3,2,27.0,1,3,2
1,2,2,14.0,2,1,3
1,3,2,4.0,2,2,2
1,1,2,58.0,1,1,2
0,3,1,20.0,1,1,2
0,3,1,39.0,2,6,2
0,3,2,14.0,1,1,2
1,2,2,55.0,1,1,2
0,3,1,2.0,5,2,1
0,3,2,31.0,2,1,2
0,2,1,35.0,1,1,2
1,2,1,34.0,1,1,2
1,3,2,15.0,1,1,1
1,1,1,28.0,1,1,2
0,3,2,8.0,4,2,2
1,3,2,38.0,2,6,2
0,1,1,19.0,4,3,2
0,1,1,40.0,1,1,3
0,2,1,66.0,1,1,2
0,1,1,28.0,2,1,3
0,1,1,42.0,2,1,2
0,3,1,21.0,1,1,2
0,3,2,18.0,3,1,2
1,3,2,14.0,2,1,3
0,3,2,40.0,2,1,2
0,2,2,27.0,2,1,2
1,2,2,3.0,2,3,3
1,3,2,19.0,1,1,1
0,3,2,18.0,2,1,2
0,3,1,7.0,5,2,2
0,3,1,21.0,1,1,2
1,1,2,49.0,2,1,3
1,2,2,29.0,2,1,2
0,1,1,65.0,1,2,3
1,2,2,21.0,1,1,2
0,3,1,28.5,1,1,3
1,2,2,5.0,2,3,2
0,3,1,11.0,6,3,2
0,3,1,22.0,1,1,3
0,1,1,45.0,2,1,2
0,3,1,4.0,4,3,2
1,2,2,29.0,1,1,2
0,3,1,19.0,1,1,2
1,3,2,17.0,5,3,2
0,3,1,26.0,3,1,2
0,2,1,32.0,1,1,2
0,3,2,16.0,6,3,2
0,2,1,21.0,1,1,2
0,3,1,26.0,2,1,3
1,3,1,32.0,1,1,2
0,3,1,25.0,1,1,2
1,2,1,0.83,1,3,2
1,3,2,30.0,1,1,2
0,3,1,22.0,1,1,2
1,3,1,29.0,1,1,2
0,1,1,28.0,1,1,2
1,2,2,17.0,1,1,2
1,3,2,33.0,4,1,2
0,3,1,16.0,2,4,2
1,1,2,23.0,4,3,2
0,3,1,24.0,1,1,2
0,3,1,29.0,1,1,2
0,3,1,20.0,1,1,2
0,1,1,46.0,2,1,2
0,3,1,26.0,2,3,2
0,3,1,59.0,1,1,2
0,1,1,71.0,1,1,3
1,1,1,23.0,1,2,3
1,2,2,34.0,1,2,2
0,2,1,34.0,2,1,2
0,3,2,28.0,1,1,2
0,1,1,21.0,1,2,2
0,3,1,33.0,1,1,2
0,3,1,37.0,3,1,2
0,3,1,28.0,1,1,2
1,3,2,21.0,1,1,2
0,3,1,38.0,1,1,2
0,1,1,47.0,1,1,2
0,3,2,14.5,2,1,3
0,3,1,22.0,1,1,2
0,3,2,20.0,2,1,2
0,3,2,17.0,1,1,3
0,3,1,21.0,1,1,2
0,3,1,70.5,1,1,1
0,2,1,29.0,2,1,2
0,1,1,24.0,1,2,3
0,3,2,2.0,5,3,2
0,2,1,21.0,3,1,2
0,2,1,32.5,2,1,3
1,2,2,32.5,1,1,2
0,1,1,54.0,1,2,2
1,3,1,12.0,2,1,3
1,3,1,24.0,1,1,2
0,3,1,45.0,1,1,2
0,3,1,33.0,1,1,3
0,3,1,20.0,1,1,2
0,3,2,47.0,2,1,2
1,2,2,29.0,2,1,2
0,2,1,25.0,1,1,2
0,2,1,23.0,1,1,3
1,1,2,19.0,1,3,2
0,1,1,37.0,2,1,2
0,3,1,16.0,1,1,2
0,1,1,24.0,1,1,3
1,3,2,22.0,1,1,2
1,3,2,24.0,2,1,2
0,3,1,19.0,1,1,1
0,2,1,18.0,1,1,2
0,2,1,19.0,2,2,2
1,3,1,27.0,1,1,2
0,3,2,9.0,3,3,2
0,2,1,36.5,1,3,2
0,2,1,42.0,1,1,2
0,2,1,51.0,1,1,2
1,1,2,22.0,2,1,2
0,3,1,55.5,1,1,2
0,3,1,40.5,1,3,2
0,1,1,51.0,1,2,3
1,3,2,16.0,1,1,1
0,3,1,30.0,1,1,2
0,3,1,44.0,1,2,2
1,2,2,40.0,1,1,2
0,3,1,26.0,1,1,2
0,3,1,17.0,1,1,2
0,3,1,1.0,5,2,2
1,3,1,9.0,1,3,2
0,3,2,45.0,2,5,2
0,3,1,28.0,1,1,2
0,1,1,61.0,1,1,2
0,3,1,4.0,5,2,1
1,3,2,1.0,2,2,2
0,3,1,21.0,1,1,2
0,1,1,56.0,1,1,3
0,3,1,18.0,2,2,2
0,1,2,50.0,1,1,3
0,2,1,30.0,1,1,2
0,3,1,36.0,1,1,2
0,3,1,9.0,5,3,2
1,2,1,1.0,3,2,2
1,3,2,4.0,1,3,2
1,1,1,45.0,1,1,2
0,3,1,40.0,2,2,1
0,3,1,36.0,1,1,2
1,2,2,32.0,1,1,2
0,2,1,19.0,1,1,2
1,3,2,19.0,2,1,2
1,2,1,3.0,2,2,2
1,1,2,44.0,1,1,3
1,1,2,58.0,1,1,3
0,3,1,42.0,1,2,2
0,2,2,24.0,1,1,2
0,3,1,28.0,1,1,2
0,3,1,34.0,1,1,2
0,3,1,45.5,1,1,3
1,3,1,18.0,1,1,2
0,3,2,2.0,1,2,2
0,3,1,32.0,2,1,2
1,3,1,26.0,1,1,3
1,3,2,16.0,1,1,1
1,1,1,40.0,1,1,3
0,3,1,24.0,1,1,2
1,2,2,35.0,1,1,2
0,3,1,22.0,1,1,2
0,2,1,30.0,1,1,2
1,1,2,31.0,2,1,3
1,3,2,27.0,1,1,2
0,2,1,42.0,2,1,2
1,1,2,32.0,1,1,3
0,2,1,30.0,1,1,2
1,3,1,16.0,1,1,2
0,2,1,27.0,1,1,2
0,3,1,51.0,1,1,2
1,1,1,38.0,2,1,2
0,3,1,22.0,1,1,2
1,2,1,19.0,1,1,2
0,3,1,20.5,1,1,2
0,2,1,18.0,1,1,2
