PassengerId,Survived,Pclass,SibSp,Parch,Gender,AgeFill,FamilySize,Age*Class
1,0,3,1,0,1,22.0,1,66.0
2,1,1,1,0,0,38.0,1,38.0
3,1,3,0,0,0,26.0,0,78.0
4,1,1,1,0,0,35.0,1,35.0
5,0,3,0,0,1,35.0,0,105.0
6,0,3,0,0,1,25.0,0,75.0
7,0,1,0,0,1,54.0,0,54.0
8,0,3,3,1,1,2.0,4,6.0
9,1,3,0,2,0,27.0,2,81.0
10,1,2,1,0,0,14.0,1,28.0
11,1,3,1,1,0,4.0,2,12.0
12,1,1,0,0,0,58.0,0,58.0
13,0,3,0,0,1,20.0,0,60.0
14,0,3,1,5,1,39.0,6,117.0
15,0,3,0,0,0,14.0,0,42.0
16,1,2,0,0,0,55.0,0,110.0
17,0,3,4,1,1,2.0,5,6.0
18,1,2,0,0,1,30.0,0,60.0
19,0,3,1,0,0,31.0,1,93.0
20,1,3,0,0,0,21.5,0,64.5
21,0,2,0,0,1,35.0,0,70.0
22,1,2,0,0,1,34.0,0,68.0
23,1,3,0,0,0,15.0,0,45.0
24,1,1,0,0,1,28.0,0,28.0
25,0,3,3,1,0,8.0,4,24.0
26,1,3,1,5,0,38.0,6,114.0
27,0,3,0,0,1,25.0,0,75.0
28,0,1,3,2,1,19.0,5,19.0
29,1,3,0,0,0,21.5,0,64.5
30,0,3,0,0,1,25.0,0,75.0
31,0,1,0,0,1,40.0,0,40.0
32,1,1,1,0,0,35.0,1,35.0
33,1,3,0,0,0,21.5,0,64.5
34,0,2,0,0,1,66.0,0,132.0
35,0,1,1,0,1,28.0,1,28.0
36,0,1,1,0,1,42.0,1,42.0
37,1,3,0,0,1,25.0,0,75.0
38,0,3,0,0,1,21.0,0,63.0
39,0,3,2,0,0,18.0,2,54.0
40,1,3,1,0,0,14.0,1,42.0
41,0,3,1,0,0,40.0,1,120.0
42,0,2,1,0,0,27.0,1,54.0
43,0,3,0,0,1,25.0,0,75.0
44,1,2,1,2,0,3.0,3,6.0
45,1,3,0,0,0,19.0,0,57.0
46,0,3,0,0,1,25.0,0,75.0
47,0,3,1,0,1,25.0,1,75.0
48,1,3,0,0,0,21.5,0,64.5
49,0,3,2,0,1,25.0,2,75.0
50,0,3,1,0,0,18.0,1,54.0
51,0,3,4,1,1,7.0,5,21.0
52,0,3,0,0,1,21.0,0,63.0
53,1,1,1,0,0,49.0,1,49.0
54,1,2,1,0,0,29.0,1,58.0
55,0,1,0,1,1,65.0,1,65.0
56,1,1,0,0,1,40.0,0,40.0
57,1,2,0,0,0,21.0,0,42.0
58,0,3,0,0,1,28.5,0,85.5
59,1,2,1,2,0,5.0,3,10.0
60,0,3,5,2,1,11.0,7,33.0
61,0,3,0,0,1,22.0,0,66.0
62,1,1,0,0,0,38.0,0,38.0
63,0,1,1,0,1,45.0,1,45.0
64,0,3,3,2,1,4.0,5,12.0
65,0,1,0,0,1,40.0,0,40.0
66,1,3,1,1,1,25.0,2,75.0
67,1,2,0,0,0,29.0,0,58.0
68,0,3,0,0,1,19.0,0,57.0
69,1,3,4,2,0,17.0,6,51.0
70,0,3,2,0,1,26.0,2,78.0
71,0,2,0,0,1,32.0,0,64.0
72,0,3,5,2,0,16.0,7,48.0
73,0,2,0,0,1,21.0,0,42.0
74,0,3,1,0,1,26.0,1,78.0
75,1,3,0,0,1,32.0,0,96.0
76,0,3,0,0,1,25.0,0,75.0
77,0,3,0,0,1,25.0,0,75.0
78,0,3,0,0,1,25.0,0,75.0
79,1,2,0,2,1,0.83,2,1.66
80,1,3,0,0,0,30.0,0,90.0
81,0,3,0,0,1,22.0,0,66.0
82,1,3,0,0,1,29.0,0,87.0
83,1,3,0,0,0,21.5,0,64.5
84,0,1,0,0,1,28.0,0,28.0
85,1,2,0,0,0,17.0,0,34.0
86,1,3,3,0,0,33.0,3,99.0
87,0,3,1,3,1,16.0,4,48.0
88,0,3,0,0,1,25.0,0,75.0
89,1,1,3,2,0,23.0,5,23.0
90,0,3,0,0,1,24.0,0,72.0
91,0,3,0,0,1,29.0,0,87.0
92,0,3,0,0,1,20.0,0,60.0
93,0,1,1,0,1,46.0,1,46.0
94,0,3,1,2,1,26.0,3,78.0
95,0,3,0,0,1,59.0,0,177.0
96,0,3,0,0,1,25.0,0,75.0
97,0,1,0,0,1,71.0,0,71.0
98,1,1,0,1,1,23.0,1,23.0
99,1,2,0,1,0,34.0,1,68.0
100,0,2,1,0,1,34.0,1,68.0
101,0,3,0,0,0,28.0,0,84.0
102,0,3,0,0,1,25.0,0,75.0
103,0,1,0,1,1,21.0,1,21.0
104,0,3,0,0,1,33.0,0,99.0
105,0,3,2,0,1,37.0,2,111.0
106,0,3,0,0,1,28.0,0,84.0
107,1,3,0,0,0,21.0,0,63.0
108,1,3,0,0,1,25.0,0,75.0
109,0,3,0,0,1,38.0,0,114.0
110,1,3,1,0,0,21.5,1,64.5
111,0,1,0,0,1,47.0,0,47.0
112,0,3,1,0,0,14.5,1,43.5
113,0,3,0,0,1,22.0,0,66.0
114,0,3,1,0,0,20.0,1,60.0
115,0,3,0,0,0,17.0,0,51.0
116,0,3,0,0,1,21.0,0,63.0
117,0,3,0,0,1,70.5,0,211.5
118,0,2,1,0,1,29.0,1,58.0
119,0,1,0,1,1,24.0,1,24.0
120,0,3,4,2,0,2.0,6,6.0
121,0,2,2,0,1,21.0,2,42.0
122,0,3,0,0,1,25.0,0,75.0
123,0,2,1,0,1,32.5,1,65.0
124,1,2,0,0,0,32.5,0,65.0
125,0,1,0,1,1,54.0,1,54.0
126,1,3,1,0,1,12.0,1,36.0
127,0,3,0,0,1,25.0,0,75.0
128,1,3,0,0,1,24.0,0,72.0
129,1,3,1,1,0,21.5,2,64.5
130,0,3,0,0,1,45.0,0,135.0
131,0,3,0,0,1,33.0,0,99.0
132,0,3,0,0,1,20.0,0,60.0
133,0,3,1,0,0,47.0,1,141.0
134,1,2,1,0,0,29.0,1,58.0
135,0,2,0,0,1,25.0,0,50.0
136,0,2,0,0,1,23.0,0,46.0
137,1,1,0,2,0,19.0,2,19.0
138,0,1,1,0,1,37.0,1,37.0
139,0,3,0,0,1,16.0,0,48.0
140,0,1,0,0,1,24.0,0,24.0
141,0,3,0,2,0,21.5,2,64.5
142,1,3,0,0,0,22.0,0,66.0
143,1,3,1,0,0,24.0,1,72.0
144,0,3,0,0,1,19.0,0,57.0
145,0,2,0,0,1,18.0,0,36.0
146,0,2,1,1,1,19.0,2,38.0
147,1,3,0,0,1,27.0,0,81.0
148,0,3,2,2,0,9.0,4,27.0
149,0,2,0,2,1,36.5,2,73.0
150,0,2,0,0,1,42.0,0,84.0
151,0,2,0,0,1,51.0,0,102.0
152,1,1,1,0,0,22.0,1,22.0
153,0,3,0,0,1,55.5,0,166.5
154,0,3,0,2,1,40.5,2,121.5
155,0,3,0,0,1,25.0,0,75.0
156,0,1,0,1,1,51.0,1,51.0
157,1,3,0,0,0,16.0,0,48.0
158,0,3,0,0,1,30.0,0,90.0
159,0,3,0,0,1,25.0,0,75.0
160,0,3,8,2,1,25.0,10,75.0
161,0,3,0,1,1,44.0,1,132.0
162,1,2,0,0,0,40.0,0,80.0
163,0,3,0,0,1,26.0,0,78.0
164,0,3,0,0,1,17.0,0,51.0
165,0,3,4,1,1,1.0,5,3.0
166,1,3,0,2,1,9.0,2,27.0
167,1,1,0,1,0,35.0,1,35.0
168,0,3,1,4,0,45.0,5,135.0
169,0,1,0,0,1,40.0,0,40.0
170,0,3,0,0,1,28.0,0,84.0
171,0,1,0,0,1,61.0,0,61.0
172,0,3,4,1,1,4.0,5,12.0
173,1,3,1,1,0,1.0,2,3.0
174,0,3,0,0,1,21.0,0,63.0
175,0,1,0,0,1,56.0,0,56.0
176,0,3,1,1,1,18.0,2,54.0
177,0,3,3,1,1,25.0,4,75.0
178,0,1,0,0,0,50.0,0,50.0
179,0,2,0,0,1,30.0,0,60.0
180,0,3,0,0,1,36.0,0,108.0
181,0,3,8,2,0,21.5,10,64.5
182,0,2,0,0,1,30.0,0,60.0
183,0,3,4,2,1,9.0,6,27.0
184,1,2,2,1,1,1.0,3,2.0
185,1,3,0,2,0,4.0,2,12.0
186,0,1,0,0,1,40.0,0,40.0
187,1,3,1,0,0,21.5,1,64.5
188,1,1,0,0,1,45.0,0,45.0
189,0,3,1,1,1,40.0,2,120.0
190,0,3,0,0,1,36.0,0,108.0
191,1,2,0,0,0,32.0,0,64.0
192,0,2,0,0,1,19.0,0,38.0
193,1,3,1,0,0,19.0,1,57.0
194,1,2,1,1,1,3.0,2,6.0
195,1,1,0,0,0,44.0,0,44.0
196,1,1,0,0,0,58.0,0,58.0
197,0,3,0,0,1,25.0,0,75.0
198,0,3,0,1,1,42.0,1,126.0
199,1,3,0,0,0,21.5,0,64.5
200,0,2,0,0,0,24.0,0,48.0
201,0,3,0,0,1,28.0,0,84.0
202,0,3,8,2,1,25.0,10,75.0
203,0,3,0,0,1,34.0,0,102.0
204,0,3,0,0,1,45.5,0,136.5
205,1,3,0,0,1,18.0,0,54.0
206,0,3,0,1,0,2.0,1,6.0
207,0,3,1,0,1,32.0,1,96.0
208,1,3,0,0,1,26.0,0,78.0
209,1,3,0,0,0,16.0,0,48.0
210,1,1,0,0,1,40.0,0,40.0
211,0,3,0,0,1,24.0,0,72.0
212,1,2,0,0,0,35.0,0,70.0
213,0,3,0,0,1,22.0,0,66.0
214,0,2,0,0,1,30.0,0,60.0
215,0,3,1,0,1,25.0,1,75.0
216,1,1,1,0,0,31.0,1,31.0
217,1,3,0,0,0,27.0,0,81.0
218,0,2,1,0,1,42.0,1,84.0
219,1,1,0,0,0,32.0,0,32.0
220,0,2,0,0,1,30.0,0,60.0
221,1,3,0,0,1,16.0,0,48.0
222,0,2,0,0,1,27.0,0,54.0
223,0,3,0,0,1,51.0,0,153.0
224,0,3,0,0,1,25.0,0,75.0
225,1,1,1,0,1,38.0,1,38.0
226,0,3,0,0,1,22.0,0,66.0
227,1,2,0,0,1,19.0,0,38.0
228,0,3,0,0,1,20.5,0,61.5
229,0,2,0,0,1,18.0,0,36.0
230,0,3,3,1,0,21.5,4,64.5
231,1,1,1,0,0,35.0,1,35.0
232,0,3,0,0,1,29.0,0,87.0
233,0,2,0,0,1,59.0,0,118.0
234,1,3,4,2,0,5.0,6,15.0
235,0,2,0,0,1,24.0,0,48.0
236,0,3,0,0,0,21.5,0,64.5
237,0,2,1,0,1,44.0,1,88.0
238,1,2,0,2,0,8.0,2,16.0
239,0,2,0,0,1,19.0,0,38.0
240,0,2,0,0,1,33.0,0,66.0
241,0,3,1,0,0,21.5,1,64.5
242,1,3,1,0,0,21.5,1,64.5
243,0,2,0,0,1,29.0,0,58.0
244,0,3,0,0,1,22.0,0,66.0
245,0,3,0,0,1,30.0,0,90.0
246,0,1,2,0,1,44.0,2,44.0
247,0,3,0,0,0,25.0,0,75.0
248,1,2,0,2,0,24.0,2,48.0
249,1,1,1,1,1,37.0,2,37.0
250,0,2,1,0,1,54.0,1,108.0
251,0,3,0,0,1,25.0,0,75.0
252,0,3,1,1,0,29.0,2,87.0
253,0,1,0,0,1,62.0,0,62.0
254,0,3,1,0,1,30.0,1,90.0
255,0,3,0,2,0,41.0,2,123.0
256,1,3,0,2,0,29.0,2,87.0
257,1,1,0,0,0,35.0,0,35.0
258,1,1,0,0,0,30.0,0,30.0
259,1,1,0,0,0,35.0,0,35.0
260,1,2,0,1,0,50.0,1,100.0
261,0,3,0,0,1,25.0,0,75.0
262,1,3,4,2,1,3.0,6,9.0
263,0,1,1,1,1,52.0,2,52.0
264,0,1,0,0,1,40.0,0,40.0
265,0,3,0,0,0,21.5,0,64.5
266,0,2,0,0,1,36.0,0,72.0
267,0,3,4,1,1,16.0,5,48.0
268,1,3,1,0,1,25.0,1,75.0
269,1,1,0,1,0,58.0,1,58.0
270,1,1,0,0,0,35.0,0,35.0
271,0,1,0,0,1,40.0,0,40.0
272,1,3,0,0,1,25.0,0,75.0
273,1,2,0,1,0,41.0,1,82.0
274,0,1,0,1,1,37.0,1,37.0
275,1,3,0,0,0,21.5,0,64.5
276,1,1,1,0,0,63.0,1,63.0
277,0,3,0,0,0,45.0,0,135.0
278,0,2,0,0,1,30.0,0,60.0
279,0,3,4,1,1,7.0,5,21.0
280,1,3,1,1,0,35.0,2,105.0
281,0,3,0,0,1,65.0,0,195.0
282,0,3,0,0,1,28.0,0,84.0
283,0,3,0,0,1,16.0,0,48.0
284,1,3,0,0,1,19.0,0,57.0
285,0,1,0,0,1,40.0,0,40.0
286,0,3,0,0,1,33.0,0,99.0
287,1,3,0,0,1,30.0,0,90.0
288,0,3,0,0,1,22.0,0,66.0
289,1,2,0,0,1,42.0,0,84.0
290,1,3,0,0,0,22.0,0,66.0
291,1,1,0,0,0,26.0,0,26.0
292,1,1,1,0,0,19.0,1,19.0
293,0,2,0,0,1,36.0,0,72.0
294,0,3,0,0,0,24.0,0,72.0
295,0,3,0,0,1,24.0,0,72.0
296,0,1,0,0,1,40.0,0,40.0
297,0,3,0,0,1,23.5,0,70.5
298,0,1,1,2,0,2.0,3,2.0
299,1,1,0,0,1,40.0,0,40.0
300,1,1,0,1,0,50.0,1,50.0
301,1,3,0,0,0,21.5,0,64.5
302,1,3,2,0,1,25.0,2,75.0
303,0,3,0,0,1,19.0,0,57.0
304,1,2,0,0,0,28.0,0,56.0
305,0,3,0,0,1,25.0,0,75.0
306,1,1,1,2,1,0.92,3,0.92
307,1,1,0,0,0,35.0,0,35.0
308,1,1,1,0,0,17.0,1,17.0
309,0,2,1,0,1,30.0,1,60.0
310,1,1,0,0,0,30.0,0,30.0
311,1,1,0,0,0,24.0,0,24.0
312,1,1,2,2,0,18.0,4,18.0
313,0,2,1,1,0,26.0,2,52.0
314,0,3,0,0,1,28.0,0,84.0
315,0,2,1,1,1,43.0,2,86.0
316,1,3,0,0,0,26.0,0,78.0
317,1,2,1,0,0,24.0,1,48.0
318,0,2,0,0,1,54.0,0,108.0
319,1,1,0,2,0,31.0,2,31.0
320,1,1,1,1,0,40.0,2,40.0
321,0,3,0,0,1,22.0,0,66.0
322,0,3,0,0,1,27.0,0,81.0
323,1,2,0,0,0,30.0,0,60.0
324,1,2,1,1,0,22.0,2,44.0
325,0,3,8,2,1,25.0,10,75.0
326,1,1,0,0,0,36.0,0,36.0
327,0,3,0,0,1,61.0,0,183.0
328,1,2,0,0,0,36.0,0,72.0
329,1,3,1,1,0,31.0,2,93.0
330,1,1,0,1,0,16.0,1,16.0
331,1,3,2,0,0,21.5,2,64.5
332,0,1,0,0,1,45.5,0,45.5
333,0,1,0,1,1,38.0,1,38.0
334,0,3,2,0,1,16.0,2,48.0
335,1,1,1,0,0,35.0,1,35.0
336,0,3,0,0,1,25.0,0,75.0
337,0,1,1,0,1,29.0,1,29.0
338,1,1,0,0,0,41.0,0,41.0
339,1,3,0,0,1,45.0,0,135.0
340,0,1,0,0,1,45.0,0,45.0
341,1,2,1,1,1,2.0,2,4.0
342,1,1,3,2,0,24.0,5,24.0
343,0,2,0,0,1,28.0,0,56.0
344,0,2,0,0,1,25.0,0,50.0
345,0,2,0,0,1,36.0,0,72.0
346,1,2,0,0,0,24.0,0,48.0
347,1,2,0,0,0,40.0,0,80.0
348,1,3,1,0,0,21.5,1,64.5
349,1,3,1,1,1,3.0,2,9.0
350,0,3,0,0,1,42.0,0,126.0
351,0,3,0,0,1,23.0,0,69.0
352,0,1,0,0,1,40.0,0,40.0
353,0,3,1,1,1,15.0,2,45.0
354,0,3,1,0,1,25.0,1,75.0
355,0,3,0,0,1,25.0,0,75.0
356,0,3,0,0,1,28.0,0,84.0
357,1,1,0,1,0,22.0,1,22.0
358,0,2,0,0,0,38.0,0,76.0
359,1,3,0,0,0,21.5,0,64.5
360,1,3,0,0,0,21.5,0,64.5
361,0,3,1,4,1,40.0,5,120.0
362,0,2,1,0,1,29.0,1,58.0
363,0,3,0,1,0,45.0,1,135.0
364,0,3,0,0,1,35.0,0,105.0
365,0,3,1,0,1,25.0,1,75.0
366,0,3,0,0,1,30.0,0,90.0
367,1,1,1,0,0,60.0,1,60.0
368,1,3,0,0,0,21.5,0,64.5
369,1,3,0,0,0,21.5,0,64.5
370,1,1,0,0,0,24.0,0,24.0
371,1,1,1,0,1,25.0,1,25.0
372,0,3,1,0,1,18.0,1,54.0
373,0,3,0,0,1,19.0,0,57.0
374,0,1,0,0,1,22.0,0,22.0
375,0,3,3,1,0,3.0,4,9.0
376,1,1,1,0,0,35.0,1,35.0
377,1,3,0,0,0,22.0,0,66.0
378,0,1,0,2,1,27.0,2,27.0
379,0,3,0,0,1,20.0,0,60.0
380,0,3,0,0,1,19.0,0,57.0
381,1,1,0,0,0,42.0,0,42.0
382,1,3,0,2,0,1.0,2,3.0
383,0,3,0,0,1,32.0,0,96.0
384,1,1,1,0,0,35.0,1,35.0
385,0,3,0,0,1,25.0,0,75.0
386,0,2,0,0,1,18.0,0,36.0
387,0,3,5,2,1,1.0,7,3.0
388,1,2,0,0,0,36.0,0,72.0
389,0,3,0,0,1,25.0,0,75.0
390,1,2,0,0,0,17.0,0,34.0
391,1,1,1,2,1,36.0,3,36.0
392,1,3,0,0,1,21.0,0,63.0
393,0,3,2,0,1,28.0,2,84.0
394,1,1,1,0,0,23.0,1,23.0
395,1,3,0,2,0,24.0,2,72.0
396,0,3,0,0,1,22.0,0,66.0
397,0,3,0,0,0,31.0,0,93.0
398,0,2,0,0,1,46.0,0,92.0
399,0,2,0,0,1,23.0,0,46.0
400,1,2,0,0,0,28.0,0,56.0
401,1,3,0,0,1,39.0,0,117.0
402,0,3,0,0,1,26.0,0,78.0
403,0,3,1,0,0,21.0,1,63.0
404,0,3,1,0,1,28.0,1,84.0
405,0,3,0,0,0,20.0,0,60.0
406,0,2,1,0,1,34.0,1,68.0
407,0,3,0,0,1,51.0,0,153.0
408,1,2,1,1,1,3.0,2,6.0
409,0,3,0,0,1,21.0,0,63.0
410,0,3,3,1,0,21.5,4,64.5
411,0,3,0,0,1,25.0,0,75.0
412,0,3,0,0,1,25.0,0,75.0
413,1,1,1,0,0,33.0,1,33.0
414,0,2,0,0,1,30.0,0,60.0
415,1,3,0,0,1,44.0,0,132.0
416,0,3,0,0,0,21.5,0,64.5
417,1,2,1,1,0,34.0,2,68.0
418,1,2,0,2,0,18.0,2,36.0
419,0,2,0,0,1,30.0,0,60.0
420,0,3,0,2,0,10.0,2,30.0
421,0,3,0,0,1,25.0,0,75.0
422,0,3,0,0,1,21.0,0,63.0
423,0,3,0,0,1,29.0,0,87.0
424,0,3,1,1,0,28.0,2,84.0
425,0,3,1,1,1,18.0,2,54.0
426,0,3,0,0,1,25.0,0,75.0
427,1,2,1,0,0,28.0,1,56.0
428,1,2,0,0,0,19.0,0,38.0
429,0,3,0,0,1,25.0,0,75.0
430,1,3,0,0,1,32.0,0,96.0
431,1,1,0,0,1,28.0,0,28.0
432,1,3,1,0,0,21.5,1,64.5
433,1,2,1,0,0,42.0,1,84.0
434,0,3,0,0,1,17.0,0,51.0
435,0,1,1,0,1,50.0,1,50.0
436,1,1,1,2,0,14.0,3,14.0
437,0,3,2,2,0,21.0,4,63.0
438,1,2,2,3,0,24.0,5,48.0
439,0,1,1,4,1,64.0,5,64.0
440,0,2,0,0,1,31.0,0,62.0
441,1,2,1,1,0,45.0,2,90.0
442,0,3,0,0,1,20.0,0,60.0
443,0,3,1,0,1,25.0,1,75.0
444,1,2,0,0,0,28.0,0,56.0
445,1,3,0,0,1,25.0,0,75.0
446,1,1,0,2,1,4.0,2,4.0
447,1,2,0,1,0,13.0,1,26.0
448,1,1,0,0,1,34.0,0,34.0
449,1,3,2,1,0,5.0,3,15.0
450,1,1,0,0,1,52.0,0,52.0
451,0,2,1,2,1,36.0,3,72.0
452,0,3,1,0,1,25.0,1,75.0
453,0,1,0,0,1,30.0,0,30.0
454,1,1,1,0,1,49.0,1,49.0
455,0,3,0,0,1,25.0,0,75.0
456,1,3,0,0,1,29.0,0,87.0
457,0,1,0,0,1,65.0,0,65.0
458,1,1,1,0,0,35.0,1,35.0
459,1,2,0,0,0,50.0,0,100.0
460,0,3,0,0,1,25.0,0,75.0
461,1,1,0,0,1,48.0,0,48.0
462,0,3,0,0,1,34.0,0,102.0
463,0,1,0,0,1,47.0,0,47.0
464,0,2,0,0,1,48.0,0,96.0
465,0,3,0,0,1,25.0,0,75.0
466,0,3,0,0,1,38.0,0,114.0
467,0,2,0,0,1,30.0,0,60.0
468,0,1,0,0,1,56.0,0,56.0
